,id,name,adress,latitude,longitude
0,11000,ONE TOUCH,"Шелапутинский пер., 1 ст4, 4, Москва",55.748857,37.534316
1,11064,Галерея № 1,"Смоленская наб., 5/13, Москва",55.748805,37.576795
2,13309,Vasilchuki Chaihona № 1,"Земляной Вал Ул., д. 33, 105064, Москва",55.757146,37.658958
3,15000,НАЦИОНАЛЬНЫЙ МЕДИКО-ХИРУРГИЧЕСКИЙ ЦЕНТР им. Н.И. ПИРОГОВА РОСЗДРАВА ФГУ ПОЛИКЛИНИКА # 1,"Гагаринский пер., 37/8 (Плотников переулок), 119002, Москва",55.744938,37.589401
4,13035,Gastronome № 1 (Гастроном №1),"Красная пл., 3, ГУМ, 109012, Москва",55.754793,37.621582
5,11177,Дворец бракосочетания № 1,"Харитоньевский М. пер., 10, 101000, Москва",55.766005,37.644759
6,13015,Вареничная № 1,"Новый Арбат Ул., д. 17, Москва",55.752156,37.591052
7,13034,Вареничная №1,"Театральная пл., д. 5, Москва",55.757378,37.621338
8,13309,Vasilchuki Chaihona № 1,"Большая Полянка Ул., д. 56, 119180, Москва",55.730695,37.622108
9,13034,Вареничная № 1,"Тверская Ул., д. 14, 125009, Москва",55.764133,37.606734
